-1	80	70	60	50	40	30	20	10	0
260	81.3	79.6	75.65	72.75	70.85	61.6	42.7	19.5	7.55
240	81.35	78.9	77.6	75.8	70.2	64.15	43.1	19.75	7.85
220	80.6	78.8	77.55	74.5	70.4	61.75	42.95	19.5	8.35
200	79.9	80.55	77.4	72.65	70.1	63.05	43.85	19.15	8.75
180	81.45	79.9	75.9	72.7	69.6	63.25	41.2	18.9	8.7
160	81.75	79.9	76.45	75.15	71.65	61.1	44.85	17.35	7.55
140	81.6	79.85	76	72.95	71.45	62.85	44.15	18	7.8
120	82.6	79.65	76.5	73.7	69.05	63.2	41.95	18.2	7.65
100	80.45	80.4	77.15	74.4	70	60.55	40.05	19.5	7.5
80	78.35	76.8	76.3	73.25	68.95	61.8	42.65	20.2	7.4

