-1	70	65	60	55	50	45	40	35	30	25	20	15	10	5	0
400	78	78	77	74	73	78	83	84	77	73	86	64	42	27	11
380	87	86	89	90	91	86	94	89	90	86	89	80	66	23	25
360	91	95	89	88	99	91	92	92	85	91	84	84	68	42	19
340	92	93	88	89	92	94	96	89	90	91	84	78	62	32	18
320	93	89	93	91	89	86	97	91	91	91	90	81	65	35	11
300	95	92	90	91	90	97	93	93	96	91	88	87	58	30	20
280	94	92	92	93	92	97	89	92	95	93	94	81	67	26	15
260	91	91	97	91	93	92	91	94	94	91	87	82	62	37	16
240	91	93	89	94	90	87	92	92	91	94	89	87	69	37	17
220	96	92	87	95	90	90	92	94	88	89	85	83	61	38	18
200	96	94	87	95	97	93	89	90	92	87	84	82	61	26	10
180	93	84	94	87	91	90	91	94	91	91	89	84	51	28	16
160	90	90	95	88	90	92	93	93	90	91	85	77	57	22	16
140	89	91	88	90	90	85	95	92	87	88	86	75	55	32	15
120	92	92	82	91	91	95	91	90	92	87	87	87	62	26	19
100	93	92	92	92	92	87	89	91	88	89	87	84	58	24	17
80	86	84	90	89	89	90	86	90	86	84	89	74	49	18	14
60	84	84	90	88	88	87	89	90	87	83	88	70	45	31	16
40	83	84	79	86	85	86	83	87	85	87	78	72	48	21	14
20	71	76	75	71	73	71	64	67	70	66	56	54	39	12	2
0	1	0	1	1	1	1	0	1	0	0	1	0	0	0	1
