-1	70	65	60	55	50	45	40	35	30	25	20	15	10	5	0
400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340	70	59	65	61	56	46	45	44	25	32	15	16	13	10	5
320	91	91	88	90	88	85	80	79	67	55	50	41	27	17	18
300	87	86	84	81	80	76	62	67	51	44	36	31	15	14	16
280	81	80	72	63	62	54	29	33	27	8	17	4	1	2	5
260	99	97	96	95	94	91	82	70	65	41	39	30	10	11	15
240	99	98	95	92	93	89	82	77	64	53	36	31	14	11	13
220	100	99	98	99	96	96	87	84	71	65	50	30	25	16	20
200	89	93	85	79	79	63	62	55	33	33	19	13	5	3	3
180	99	98	96	97	97	90	89	75	80	67	57	48	35	30	18
160	100	100	99	100	98	98	99	94	86	79	75	52	38	20	21
140	79	80	73	61	53	42	45	31	28	21	15	7	3	5	0
120	58	36	32	29	22	20	17	14	10	8	3	2	2	1	1
100	2	2	2	1	1	1	0	0	2	0	1	0	0	0	0
80	35	39	40	31	24	22	18	11	11	8	8	1	8	5	0
60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
